"species","decimalLongitude","decimalLatitude"
"Hydrochoerus hydrochaeris",-35.223515,-5.930694
"Hydrochoerus hydrochaeris",-47.473438,-21.9566
"Hydrochoerus hydrochaeris",-47.448331,-21.957835
"Hydrochoerus hydrochaeris",-44.107815,-22.502805
"Hydrochoerus hydrochaeris",-47.020301,-22.903842
"Hydrochoerus hydrochaeris",-49.35754,-25.447037
"Hydrochoerus hydrochaeris",-49.260023,-8.26859
"Hydrochoerus hydrochaeris",-55.480758,-15.569547
"Hydrochoerus hydrochaeris",-46.85668,-23.660996
"Hydrochoerus hydrochaeris",-45.251222,-21.699654
"Hydrochoerus hydrochaeris",-43.369633,-22.997421
"Hydrochoerus hydrochaeris",-43.902169,-19.64097
"Hydrochoerus hydrochaeris",-46.856165,-23.661192
"Hydrochoerus hydrochaeris",-43.926986,-19.654359
"Hydrochoerus hydrochaeris",-46.856015,-23.660956
"Hydrochoerus hydrochaeris",-46.855779,-23.660721
"Hydrochoerus hydrochaeris",-54.616917,-20.505062
"Hydrochoerus hydrochaeris",-56.516128,-20.982803
"Hydrochoerus hydrochaeris",-46.703189,-23.566341
"Hydrochoerus hydrochaeris",-43.858812,-20.503638
"Hydrochoerus hydrochaeris",-47.649832,-22.71547
"Hydrochoerus hydrochaeris",-35.692132,-7.875427
"Hydrochoerus hydrochaeris",-40.261187,-19.938827
"Hydrochoerus hydrochaeris",-49.260048,-8.268583
"Hydrochoerus hydrochaeris",-48.894269,-27.099216
"Hydrochoerus hydrochaeris",-52.040885,-22.336989
"Hydrochoerus hydrochaeris",-49.357997,-25.447162
"Hydrochoerus hydrochaeris",-46.856145,-23.658388
"Hydrochoerus hydrochaeris",-46.857427,-23.660359
"Hydrochoerus hydrochaeris",-47.457428,-21.951145
"Hydrochoerus hydrochaeris",-43.369633,-22.997421
"Hydrochoerus hydrochaeris",-46.008631,-15.987049
"Hydrochoerus hydrochaeris",-40.227726,-19.939366
"Hydrochoerus hydrochaeris",-43.905618,-19.647879
"Hydrochoerus hydrochaeris",-51.93068,-23.425083
"Hydrochoerus hydrochaeris",-47.449238,-21.958366
"Hydrochoerus hydrochaeris",-49.259991,-8.268599
"Hydrochoerus hydrochaeris",-46.718478,-23.681456
"Hydrochoerus hydrochaeris",-46.736331,-23.830407
"Hydrochoerus hydrochaeris",-43.911819,-19.646064
"Hydrochoerus hydrochaeris",-45.962589,-23.186682
"Hydrochoerus hydrochaeris",-46.856326,-23.660967
